,conflict_id,location,incompatibility,year,intensity_level,type_of_conflict,region
0,200,Bolivia,2,1946,2,3,5
1,200,Bolivia,2,1949,1,3,5
2,200,Bolivia,2,1952,1,3,5
3,200,Bolivia,2,1967,1,3,5
4,201,Cambodia (Kampuchea),1,1946,1,1,3
5,201,Cambodia (Kampuchea),1,1947,1,1,3
6,201,Cambodia (Kampuchea),1,1948,1,1,3
7,201,Cambodia (Kampuchea),1,1949,1,1,3
8,201,Cambodia (Kampuchea),1,1950,1,1,3
9,201,Cambodia (Kampuchea),1,1951,1,1,3
10,201,Cambodia (Kampuchea),1,1952,1,1,3
11,201,Cambodia (Kampuchea),1,1953,1,1,3
12,202,China,2,1946,2,3,3
13,202,China,2,1947,2,3,3
14,202,China,2,1948,2,3,3
15,202,China,2,1949,2,3,3
16,203,Greece,2,1946,2,3,1
17,203,Greece,2,1947,2,3,1
18,203,Greece,2,1948,2,3,1
19,203,Greece,2,1949,2,3,1
20,204,Indonesia,1,1946,1,1,3
21,204,Indonesia,1,1947,1,1,3
22,204,Indonesia,1,1948,1,1,3
23,204,Indonesia,1,1949,1,1,3
24,205,Iran,1,1946,1,4,2
25,205,Iran,1,1966,1,3,2
26,205,Iran,1,1967,1,3,2
27,205,Iran,1,1968,1,3,2
28,205,Iran,1,1979,2,3,2
29,205,Iran,1,1980,2,3,2
30,205,Iran,1,1981,1,3,2
31,205,Iran,1,1982,2,3,2
32,205,Iran,1,1983,1,3,2
33,205,Iran,1,1984,1,3,2
34,205,Iran,1,1985,1,3,2
35,205,Iran,1,1986,1,3,2
36,205,Iran,1,1987,1,3,2
37,205,Iran,1,1988,1,3,2
38,205,Iran,1,1990,1,3,2
39,205,Iran,1,1993,1,3,2
40,205,Iran,1,1996,1,3,2
41,205,Iran,1,2016,1,3,2
42,205,Iran,1,2018,1,3,2
43,206,Iran,1,1946,1,4,2
44,207,Israel,1,1946,1,1,2
45,208,Laos,1,1946,1,1,3
46,208,Laos,1,1947,1,1,3
47,208,Laos,1,1948,1,1,3
48,208,Laos,1,1949,1,1,3
49,208,Laos,1,1950,1,1,3
50,208,Laos,1,1951,1,1,3
51,208,Laos,1,1952,1,1,3
52,208,Laos,1,1953,1,1,3
